scenario,thread_per_block,block_per_grid,mean_time,std_time
large files 1 large patterns,32,256,0.2481916,0.01119898728635764
large files 1 large patterns,32,512,0.2433024,0.004756648130774441
large files 1 large patterns,32,1024,0.24920419999999996,0.00396476533479599
large files 1 large patterns,32,2048,0.24443740000000003,0.013669605240825364
large files 1 large patterns,32,4096,0.24520240000000001,0.00845285475091107
large files 1 large patterns,32,8192,0.24693740000000003,0.007839206811916624
large files 1 large patterns,32,16384,0.25081939999999997,0.005744927452979711
large files 1 large patterns,32,32768,0.24073440000000002,0.0023266601470777835
large files 1 large patterns,32,65536,0.2467848,0.004858162055757307
large files 1 large patterns,64,4,0.2950462,0.014252791142790242
large files 1 large patterns,64,8,0.26894340000000005,0.007605159001625137
large files 1 large patterns,64,16,0.250006,0.009257489011605686
large files 1 large patterns,64,32,0.2511496,0.008579491374201612
large files 1 large patterns,64,64,0.2421104,0.008421667830067868
large files 1 large patterns,64,128,0.24941299999999997,0.007376608895691832
large files 1 large patterns,64,256,0.23593820000000001,0.008074190322255223
large files 1 large patterns,64,512,0.24365460000000003,0.010997993864337259
large files 1 large patterns,64,1024,0.244456,0.0077484593307315
large files 1 large patterns,64,2048,0.24625980000000003,0.006513883492970991
large files 1 large patterns,64,4096,0.24795379999999997,0.006639515837770102
large files 1 large patterns,64,8192,0.23918920000000005,0.010597007320937362
large files 1 large patterns,64,16384,0.2489482,0.005422731392942125
large files 1 large patterns,64,32768,0.24921699999999997,0.006889759589419647
large files 1 large patterns,64,65536,0.2412478,0.010080093479725265
large files 1 large patterns,128,4,0.2680282,0.012459347806366096
large files 1 large patterns,128,8,0.249805,0.004519450497571586
large files 1 large patterns,128,16,0.23993899999999999,0.0040612339996607
large files 1 large patterns,128,32,0.23707320000000004,0.008759808614347688
large files 1 large patterns,128,64,0.2364162,0.008627047569128157
large files 1 large patterns,128,128,0.23691060000000003,0.0031317760839498104
large files 1 large patterns,128,256,0.2392872,0.0058413717019206975
large files 1 large patterns,128,512,0.23750659999999998,0.006381555409145953
large files 1 large patterns,128,1024,0.23926560000000002,0.01110645472867018
large files 1 large patterns,128,2048,0.24180640000000003,0.003523403615823771
large files 1 large patterns,128,4096,0.23745019999999997,0.004751803758574212
large files 1 large patterns,128,8192,0.23895,0.006021051635719463
large files 1 large patterns,128,16384,0.242476,0.011808568482250505
large files 1 large patterns,128,32768,0.239024,0.011779333427660492
large files 1 large patterns,128,65536,0.24445440000000002,0.009635245769569136
large files 1 large patterns,256,4,0.267564,0.012721108049222756
large files 1 large patterns,256,8,0.247346,0.009175459269159223
large files 1 large patterns,256,16,0.2499994,0.004717006788207962
large files 1 large patterns,256,32,0.23925799999999997,0.007711430814057789
large files 1 large patterns,256,64,0.24045940000000005,0.005924139687752138
large files 1 large patterns,256,128,0.2433084,0.005917119894002493
large files 1 large patterns,256,256,0.2330564,0.0053248911575730805
large files 1 large patterns,256,512,0.2382988,0.0027118989214201922
large files 1 large patterns,256,1024,0.24631480000000003,0.012846210809417696
large files 1 large patterns,256,2048,0.24236680000000002,0.007091728122256245
large files 1 large patterns,256,4096,0.2380538,0.0023774143433570893
large files 1 large patterns,256,8192,0.23889140000000003,0.00627217734443152
large files 1 large patterns,256,16384,0.2389074,0.008106566069551277
large files 1 large patterns,256,32768,0.2404604,0.0066322082777910425
large files 1 large patterns,256,65536,0.2377812,0.00935654776934314
large files 1 large patterns,512,4,0.262559,0.0057380167653990006
large files 1 large patterns,512,8,0.24865400000000001,0.015008210299699294
large files 1 large patterns,512,16,0.2547616,0.01157037018595343
large files 1 large patterns,512,32,0.2463378,0.004460396726749758
large files 1 large patterns,512,64,0.24338880000000002,0.013595342737864325
large files 1 large patterns,512,128,0.23938920000000002,0.0053635335889691245
large files 1 large patterns,512,256,0.25070099999999995,0.0098732491713721
large files 1 large patterns,512,512,0.2453042,0.00793025874483298
large files 1 large patterns,512,1024,0.24891100000000002,0.005742008847084795
large files 1 large patterns,512,2048,0.25054600000000005,0.0052317796207409254
large files 1 large patterns,512,4096,0.2463126,0.016543754369549853
large files 1 large patterns,512,8192,0.24365920000000002,0.009814621304971467
large files 1 large patterns,512,16384,0.24709240000000002,0.010614212784752337
large files 1 large patterns,512,32768,0.24176699999999998,0.004138449613079755
large files 1 large patterns,512,65536,0.24212820000000002,0.006634080294961761
large files 1 large patterns,1024,4,0.2650408,0.01324199944721341
large files 1 large patterns,1024,8,0.2464512,0.004518033085314886
large files 1 large patterns,1024,16,0.2521124,0.003551613751521979
large files 1 large patterns,1024,32,0.24535579999999996,0.003579520940014179
large files 1 large patterns,1024,64,0.23668780000000003,0.00868724311620206
large files 1 large patterns,1024,128,0.24133939999999998,0.0067185628403699515
large files 1 large patterns,1024,256,0.25652400000000003,0.0023056443784764446
large files 1 large patterns,1024,512,0.2502454,0.006879807689172714
large files 1 large patterns,1024,1024,0.25167419999999996,0.004220468476366101
large files 1 large patterns,1024,2048,0.255195,0.002987292285666076
large files 1 large patterns,1024,4096,0.25563080000000005,0.011250066353582092
large files 1 large patterns,1024,8192,0.26087699999999997,0.00664610866597892
large files 1 large patterns,1024,16384,0.2625986,0.011087441410893677
large files 1 large patterns,1024,32768,0.24618579999999998,0.008955500798950331
large files 1 large patterns,1024,65536,0.24719359999999999,0.00430800364902352
large files 1 large patterns,2048,4,0.2713264000000001,0.008994740810051178
large files 1 large patterns,2048,8,0.2605636,0.016149689688659662
large files 1 large patterns,2048,16,0.2482068,0.0038845935385829005
large files 1 large patterns,2048,32,0.242743,0.00472838386766557
large files 1 large patterns,2048,64,0.2505562,0.006640259253974951
large files 1 large patterns,2048,128,0.24583779999999997,0.009389643793030703
large files 1 large patterns,2048,256,0.2499558,0.006812524565827263
large files 1 large patterns,2048,512,0.24499240000000003,0.008895629794455254
large files 1 large patterns,2048,1024,0.24919660000000005,0.004753671785052062
large files 1 large patterns,2048,2048,0.24298599999999998,0.008595046852693702
large files 1 large patterns,2048,4096,0.2515708,0.016175818883753617
large files 1 large patterns,2048,8192,0.2766402,0.038789562758040984
large files 1 large patterns,2048,16384,0.320037,0.010678804352548091
large files 1 large patterns,2048,32768,0.3170862,0.010722450604222906
large files 1 large patterns,2048,65536,0.3187776,0.012737747565405745
large files 1 large patterns,4096,4,0.36747199999999997,0.030024280207858443
large files 1 large patterns,4096,8,0.262646,0.013699284054285452
large files 1 large patterns,4096,16,0.24973259999999997,0.0061623339928958765
large files 1 large patterns,4096,32,0.23624499999999998,0.006881101336268783
large files 1 large patterns,4096,64,0.242172,0.004328251332813283
large files 1 large patterns,4096,128,0.2471666,0.005656754143499611
large files 1 large patterns,4096,256,0.24965120000000002,0.007456847655678635
large files 1 large patterns,4096,512,0.2407672,0.009924401289750435
large files 1 large patterns,4096,1024,0.24377939999999998,0.009803735341185005
large files 1 large patterns,4096,2048,0.24576060000000002,0.014441375122889103
large files 1 large patterns,4096,4096,0.2428648,0.003596326092000004
large files 1 large patterns,4096,8192,0.2526602,0.009567290032187795
large files 1 large patterns,4096,16384,0.24380600000000002,0.0075803350057896506
large files 1 large patterns,4096,32768,0.25149479999999996,0.013458246325580462
large files 1 large patterns,4096,65536,0.2574068,0.01196810801087624
large files 1 large patterns,8192,4,0.2702204,0.006634313637445858
large files 1 large patterns,8192,8,0.2566522,0.006199290036770343
large files 1 large patterns,8192,16,0.25272740000000005,0.010219718324885477
large files 1 large patterns,8192,32,0.2500236,0.0109693303642474
large files 1 large patterns,8192,64,0.24551820000000002,0.006701511572772222
large files 1 large patterns,8192,128,0.24151440000000002,0.011045298449566669
large files 1 large patterns,8192,256,0.24022380000000002,0.009079129812928117
large files 1 large patterns,8192,512,0.2406364,0.010350827765932548
large files 1 large patterns,8192,1024,0.2430098,0.008306387407290852
large files 1 large patterns,8192,2048,0.2454464,0.005825880589232833
large files 1 large patterns,8192,4096,0.2430656,0.010530965722097854
large files 1 large patterns,8192,8192,0.2371438,0.005261698220156679
large files 1 large patterns,8192,16384,0.24254539999999997,0.009593363385174157
large files 1 large patterns,8192,32768,0.23634019999999997,0.0075477172549056155
large files 1 large patterns,8192,65536,0.2517458,0.013978077169625298
large files 100 small patterns,4,4,1.190526,0.016785808351104225
large files 100 small patterns,4,8,0.708779,0.006196956769253745
large files 100 small patterns,4,16,0.4891016,0.00789587777514318
large files 100 small patterns,4,32,0.3659912,0.009624243770811284
large files 100 small patterns,4,64,0.3042826,0.004624266973261823
large files 100 small patterns,4,128,0.27012040000000004,0.008857436030816138
large files 100 small patterns,4,256,0.25406579999999995,0.007361629640235906
large files 100 small patterns,4,512,0.252081,0.009933226726497291
large files 100 small patterns,4,1024,0.24838940000000004,0.011293637617703165
large files 100 small patterns,4,2048,0.2420156,0.008462182333180959
large files 100 small patterns,4,4096,0.24737320000000002,0.00476670147586357
large files 100 small patterns,4,8192,0.24457839999999997,0.006835400693448783
large files 100 small patterns,4,16384,0.2512074,0.005974992974054452
large files 100 small patterns,4,32768,0.24685900000000002,0.007215198763720937
