ndata,n_pattern,l_pattern,distributed_pattern,exec_time,transmit_time,compute_time,gather_time
1500,51,10,pattern distributed,1.95,0.01,1.94,0.00
1500,51,100,pattern distributed,4.17,0.01,4.16,0.00
1500,61,10,pattern distributed,1.94,0.05,1.89,0.00
1500,61,100,pattern distributed,4.16,0.06,4.09,0.00
1500,71,10,pattern distributed,1.97,0.08,1.89,0.00
1500,71,100,pattern distributed,5.20,0.06,5.14,0.00
1500,81,10,pattern distributed,1.94,0.05,1.89,0.00
1500,81,100,pattern distributed,5.94,0.05,5.89,0.00
1500,91,10,pattern distributed,1.95,0.05,1.90,0.00
1500,91,100,pattern distributed,6.01,0.05,5.96,0.00
1500,101,10,pattern distributed,1.96,0.05,1.91,0.00
1500,101,100,pattern distributed,6.00,0.12,5.87,0.00
1500,111,10,pattern distributed,1.99,0.05,1.93,0.00
1500,111,100,pattern distributed,6.22,0.05,6.16,0.00
1500,121,10,pattern distributed,2.25,0.06,2.18,0.00
1500,121,100,pattern distributed,6.31,0.08,6.23,0.00
1500,131,10,pattern distributed,1.97,0.06,1.90,0.00
1500,131,100,pattern distributed,7.32,0.05,7.26,0.00
1500,141,10,pattern distributed,1.97,0.05,1.92,0.00
1500,141,100,pattern distributed,7.29,0.05,7.23,0.00
1500,151,10,pattern distributed,2.00,0.05,1.94,0.01
1500,151,100,pattern distributed,8.10,0.05,8.05,0.00
1500,161,10,pattern distributed,2.29,0.06,2.22,0.01
1500,161,100,pattern distributed,8.32,0.06,8.25,0.01
1500,171,10,pattern distributed,2.02,0.05,1.97,0.01
1500,171,100,pattern distributed,8.14,0.05,8.09,0.01
1500,181,10,pattern distributed,2.02,0.05,1.96,0.01
1500,181,100,pattern distributed,8.56,0.07,8.48,0.01
1500,191,10,pattern distributed,2.01,0.05,1.96,0.01
1500,191,100,pattern distributed,8.74,0.05,8.69,0.01
1500,201,10,pattern distributed,2.00,0.07,1.93,0.01
1500,201,100,pattern distributed,9.70,0.08,9.62,0.01
1500,211,10,pattern distributed,2.01,0.05,1.96,0.01
1500,211,100,pattern distributed,10.05,0.06,9.98,0.01
1500,221,10,pattern distributed,1.88,0.04,1.84,0.01
1500,221,100,pattern distributed,10.42,0.05,10.36,0.01
1500,231,10,pattern distributed,2.16,0.05,2.10,0.01
1500,231,100,pattern distributed,10.29,0.06,10.23,0.01
1500,241,10,pattern distributed,2.01,0.06,1.95,0.01
1500,241,100,pattern distributed,10.50,0.05,10.45,0.01
1500,251,10,pattern distributed,2.01,0.05,1.95,0.01
1500,251,100,pattern distributed,10.49,0.06,10.43,0.01
1500,261,10,pattern distributed,1.99,0.05,1.93,0.01
1500,261,100,pattern distributed,10.08,0.05,10.03,0.01
1500,271,10,pattern distributed,2.03,0.08,1.95,0.01
1500,271,100,pattern distributed,11.78,0.05,11.72,0.01
1500,281,10,pattern distributed,2.06,0.05,2.00,0.01
1500,281,100,pattern distributed,11.32,0.06,11.25,0.01
1500,291,10,pattern distributed,2.08,0.06,2.01,0.01
1500,291,100,pattern distributed,12.41,0.05,12.35,0.01
1500,301,10,pattern distributed,2.03,0.06,1.97,0.01
1500,301,100,pattern distributed,12.03,0.05,11.97,0.01
1500,311,10,pattern distributed,2.06,0.05,2.01,0.01
1500,311,100,pattern distributed,12.49,0.05,12.44,0.01
1500,321,10,pattern distributed,2.02,0.05,1.96,0.01
1500,321,100,pattern distributed,12.79,0.05,12.73,0.01
1500,331,10,pattern distributed,2.00,0.04,1.95,0.01
1500,331,100,pattern distributed,13.51,0.05,13.46,0.01
1500,341,10,pattern distributed,2.05,0.05,1.99,0.01
1500,341,100,pattern distributed,14.15,0.06,14.09,0.01
1500,351,10,pattern distributed,2.06,0.06,2.00,0.01
1500,351,100,pattern distributed,14.72,0.05,14.66,0.01
1500,361,10,pattern distributed,2.07,0.06,2.01,0.01
1500,361,100,pattern distributed,14.62,0.08,14.53,0.01
1500,371,10,pattern distributed,2.09,0.05,2.03,0.01
1500,371,100,pattern distributed,14.52,0.08,14.44,0.01
1500,381,10,pattern distributed,2.34,0.06,2.27,0.01
1500,381,100,pattern distributed,14.86,0.08,14.78,0.01
1500,391,10,pattern distributed,2.04,0.04,1.99,0.01
1500,391,100,pattern distributed,15.74,0.07,15.67,0.01
1500,401,10,pattern distributed,2.04,0.04,1.99,0.01
1500,401,100,pattern distributed,16.95,0.06,16.88,0.01
1500,411,10,pattern distributed,2.07,0.05,2.01,0.01
1500,411,100,pattern distributed,16.62,0.05,16.57,0.01
1500,421,10,pattern distributed,2.07,0.05,2.01,0.01
1500,421,100,pattern distributed,14.88,0.06,14.81,0.01
1500,431,10,pattern distributed,2.28,0.05,2.22,0.01
1500,431,100,pattern distributed,16.35,0.06,16.28,0.01
1500,441,10,pattern distributed,2.08,0.06,2.01,0.01
1500,441,100,pattern distributed,16.91,0.04,16.86,0.01
1500,451,10,pattern distributed,2.07,0.06,1.99,0.01
1500,451,100,pattern distributed,18.47,0.04,18.42,0.01
1500,461,10,pattern distributed,2.10,0.06,2.03,0.01
1500,461,100,pattern distributed,17.95,0.08,17.87,0.01
1500,471,10,pattern distributed,2.09,0.05,2.04,0.01
1500,471,100,pattern distributed,17.00,0.05,16.94,0.01
1500,481,10,pattern distributed,2.09,0.06,2.02,0.01
1500,481,100,pattern distributed,19.10,0.06,19.03,0.01
1500,491,10,pattern distributed,2.06,0.05,2.00,0.01
1500,491,100,pattern distributed,18.81,0.06,18.74,0.01
1500,501,10,pattern distributed,2.44,0.05,2.37,0.01
1500,501,100,pattern distributed,19.01,0.05,18.95,0.01
1500,511,10,pattern distributed,1.96,0.04,1.91,0.01
1500,511,100,pattern distributed,18.94,0.06,18.87,0.01
1500,521,10,pattern distributed,2.11,0.06,2.04,0.01
1500,521,100,pattern distributed,17.92,0.06,17.85,0.01
1500,531,10,pattern distributed,2.13,0.05,2.07,0.01
1500,531,100,pattern distributed,20.87,0.07,20.78,0.01
1500,541,10,pattern distributed,1.97,0.05,1.91,0.01
1500,541,100,pattern distributed,20.74,0.07,20.65,0.01
1500,551,10,pattern distributed,2.06,0.06,1.99,0.01
1500,551,100,pattern distributed,20.77,0.07,20.69,0.01
1500,561,10,pattern distributed,2.19,0.05,2.12,0.01
1500,561,100,pattern distributed,21.49,0.07,21.41,0.01
1500,571,10,pattern distributed,2.14,0.06,2.07,0.01
1500,571,100,pattern distributed,19.50,0.05,19.44,0.01
1500,581,10,pattern distributed,2.15,0.05,2.08,0.01
1500,581,100,pattern distributed,21.32,0.09,21.22,0.01
1500,591,10,pattern distributed,2.03,0.06,1.96,0.01
1500,591,100,pattern distributed,22.62,0.06,22.55,0.01
1500,601,10,pattern distributed,2.17,0.08,2.08,0.01
1500,601,100,pattern distributed,22.39,0.05,22.33,0.01
1500,611,10,pattern distributed,2.14,0.07,2.06,0.01
